Genome Name,RR:HPKratio,HPK,RR,unit_norm_hkct,unit_norm_genect,Genome Size   * assembled,Gene Count   * assembled,hpkper100gene,HybridHPK,taxon_oid,Domain,Status,Study Name,Sequencing Center,IMG Genome ID ,Phylum,ForColors,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,Phylum2
Prochlorococcus marinus MIT9314,0.666666667,9,6,0.003052923,0.670625426,1690556,1977,0.455235205,,2606217312,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217312,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,Cyanobacteria
Prochlorococcus marinus MIT9313,0.818181818,11,9,0.00373135,0.791724707,2410873,2334,0.471293916,,637000211,Bacteria,Finished,Prochlorococcus sp. MIT9313,DOE Joint Genome Institute (JGI),637000211,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),Marine,Cyanobacteria
Prochlorococcus marinus MIT9312,0.666666667,9,6,0.003052923,0.630937427,1709204,1860,0.483870968,,637000210,Bacteria,Finished,Prochlorococcus marinus MIT9312,DOE Joint Genome Institute (JGI),637000210,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,Cyanobacteria
Prochlorococcus marinus MIT9311,0.666666667,9,6,0.003052923,0.666894076,1711064,1966,0.457782299,,2606217680,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217680,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,Cyanobacteria
Prochlorococcus marinus MIT9303,0.75,12,9,0.004070564,1.062756429,2682675,3133,0.38301947,,640069323,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069323,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),"Aquatic, Marine",Cyanobacteria
Prochlorococcus marinus MIT9302,0.666666667,9,6,0.003052923,0.682837119,1745343,2013,0.44709389,,2606217691,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217691,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,Cyanobacteria
Prochlorococcus marinus MIT9301,0.666666667,9,6,0.003052923,0.66723329,1641879,1967,0.457549568,,640069322,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069322,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),"Aquatic, Marine",Cyanobacteria
Prochlorococcus marinus MIT9215,0.3125,16,5,0.005427419,0.698440947,1738790,2059,0.777076251,,640753041,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),640753041,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,Cyanobacteria
Prochlorococcus marinus MIT9215,0.3125,16,5,0.005427419,0.678088127,1738790,1999,0.8004002,,2606217559,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),2606217559,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,not
Prochlorococcus marinus MIT9215,0.3125,16,5,0.005427419,0.698440947,1738790,2059,0.777076251,,640753041,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),640753041,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,not
Prochlorococcus marinus MIT9215,0.3125,16,5,0.005427419,0.678088127,1738790,1999,0.8004002,,2606217559,Bacteria,Finished,Prochlorococcus sp. MIT9215,DOE Joint Genome Institute (JGI),2606217559,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,not
Prochlorococcus marinus MIT9211,0.666666667,9,6,0.003052923,0.644845187,1688963,1901,0.473435034,,641228501,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),641228501,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),Marine,not
Prochlorococcus marinus MIT9202,0.5,8,4,0.002713709,0.654682384,1691453,1930,0.414507772,,647533199,Bacteria,Permanent Draft,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),647533199,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),Marine,not
Prochlorococcus marinus MIT9201,0.625,8,5,0.002713709,0.671982281,1672416,1981,0.403836446,,2606217687,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217687,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,not
Prochlorococcus marinus MIT9123,0.625,8,5,0.002713709,0.671643067,1697748,1980,0.404040404,,2606217318,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217318,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,not
Prochlorococcus marinus MIT9116,0.555555556,9,5,0.003052923,0.666215649,1685398,1964,0.458248473,,2606217690,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217690,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,not
Prochlorococcus marinus marinus CCMP1375,0.666666667,9,6,0.003052923,0.655700025,1751080,1933,0.465597517,,637000213,Bacteria,Finished,Prochlorococcus marinus marinus CCMP1375,CEA Genoscope,637000213,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),"Aquatic, Marine",not
Prochlorococcus marinus LG,0.666666667,9,6,0.003052923,0.660109803,1754063,1946,0.462487153,,2606217685,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217685,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,Low light adapted (LL),,not
Prochlorococcus marinus GP2,0.625,8,5,0.002713709,0.635007991,1624310,1872,0.427350427,,2606217606,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217606,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,not
Prochlorococcus marinus EQPAC1,0.666666667,9,6,0.003052923,0.659431375,1654739,1944,0.462962963,,2606217689,Bacteria,Permanent Draft,Genomes of diverse isolates of the marine cyanobacterium Prochlorococcus,Massachusetts Institute of Technology,2606217689,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),,not
Prochlorococcus marinus AS9601,0.625,8,5,0.002713709,0.674356777,1669886,1988,0.402414487,,640069321,Bacteria,Finished,Prochlorococcus marinus sequencing - JCVI,J. Craig Venter Institute (JCVI),640069321,Cyanobacteria,Prochlorococcus,unclassified,Synechococcales,Prochloraceae,Prochlorococcus,Prochlorococcus marinus,Environmental,Aquatic,Pelagic,Marine,High light adapted (HL),"Aquatic, Marine",not
Ponticaulis koreensis DSM 19734,1.3,40,52,0.013568547,1.155022548,3400379,3405,1.174743025,,2524614539,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524614539,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Ponticaulis,Ponticaulis koreensis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Polaribacter irgensii 23-P,0.904761905,21,19,0.007123487,0.88263397,2745458,2602,0.807071483,,638341152,Bacteria,Permanent Draft,Polaribacter irgensii 23-P,J. Craig Venter Institute (JCVI),638341152,Bacteroidetes,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter irgensii,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Surface water",not
Plesiocystis pacifica SIR-1,0.897959184,98,88,0.03324294,2.897563173,10587646,8542,1.147272302,12,640963030,Bacteria,Permanent Draft,Plesiocystis pacifica SIR-1,J. Craig Venter Institute (JCVI),640963030,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,Plesiocystis pacifica,Environmental,Aquatic,Intertidal zone,Marine,,Marine,noy
Photobacterium sp. SKA34,1.297297297,37,48,0.012550906,1.605837516,4946988,4734,0.781580059,20,638341151,Bacteria,Permanent Draft,Photobacterium sp. SKA34,J. Craig Venter Institute (JCVI),638341151,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium sp. SKA34,Environmental,Aquatic,Unclassified,Marine,,Marine,not
Photobacterium profundum 3TCK,1.262295082,61,77,0.020692034,1.970831425,6107610,5810,1.049913941,18,2501651210,Bacteria,Permanent Draft,Photobacterium profundum 3TCK,J. Craig Venter Institute (JCVI),2501651210,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum,Environmental,Aquatic,Coastal,Marine,,Marine,not
Photobacterium angustum S14,1.272727273,44,56,0.014925401,1.611604148,5101447,4751,0.926120817,23,638341223,Bacteria,Permanent Draft,Photobacterium angustum S14,J. Craig Venter Institute (JCVI),638341223,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium angustum,Environmental,Aquatic,Unclassified,Marine,,"Marine, Surface water",not
Phaeobacter inhibens 2.10,0.974358974,39,38,0.013229333,1.286298238,4160918,3792,1.028481013,,2510065028,Bacteria,Finished,Phaeobacter inhibens 2.10,J. Craig Venter Institute (JCVI),2510065028,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,Phaeobacter inhibens,Host-associated,Algae,Unclassified,Unclassified,,"Host, Marine",not
Phaeobacter gallaeciensis BS107,0.973684211,38,37,0.012890119,1.402987741,4232367,4136,0.918762089,,641380432,Bacteria,Permanent Draft,Phaeobacter type strains,LGC Genomics,641380432,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,Phaeobacter gallaeciensis,Environmental,Aquatic,Unclassified,Marine,,,not
Pelagibacter sp. PRT004 (unscreened),0,6,,0.002035282,0.408074045,855928,1203,0.498753117,3,2518645503,Bacteria,Permanent Draft,single cell genomics of the PRT,J. Craig Venter Institute (JCVI),2518645503,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,uncultured Candidatus Pelagibacter sp.,Environmental,Aquatic,Unclassified,Marine,,Deep sea,not
Pelagibacter bacterium JGI 02_I9 (contamination screened),0,6,,0.002035282,0.333786252,900537,984,0.609756098,,2721756045,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721756045,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 02_I7 (contamination screened),0,3,,0.001017641,0.211330117,548078,623,0.481540931,,2724679626,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2724679626,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 02_I16 (contamination screened),0,5,,0.001696068,0.20793798,550034,613,0.815660685,,2738541259,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2738541259,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 02_I15 (contamination screened),0,5,,0.001696068,0.353460645,917992,1042,0.479846449,,2739367742,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367742,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 02_H21 (contamination screened),0,1,,0.000339214,0.083107349,227198,245,0.408163265,,2724679903,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2724679903,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 02_H17 (contamination screened),0,3,,0.001017641,0.256106321,688029,755,0.397350993,11,2765236060,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2765236060,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 02_H16 (contamination screened),0,2,,0.000678427,0.160108852,399422,472,0.423728814,5,2747842473,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2747842473,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 02_H13 (contamination screened),0,2,,0.000678427,0.183853809,479840,542,0.36900369,5,2718218517,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2718218517,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 02_H12 (contamination screened),0,1,,0.000339214,0.238127997,625215,702,0.142450142,8,2724679909,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2724679909,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 02_F17 (contamination screened),0,5,,0.001696068,0.381276166,1023214,1124,0.444839858,7,2721756051,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721756051,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_M9_750m (contamination screened),0,1,,0.000339214,0.088195554,216573,260,0.384615385,9,2739367930,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367930,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_M19 (contamination screened),0,1,,0.000339214,0.130597263,338304,385,0.25974026,3,2747842467,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2747842467,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_M16 (contamination screened),0,2,,0.000678427,0.108887588,305001,321,0.62305296,5,2747842471,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2747842471,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_M13 (contamination screened),0,1,,0.000339214,0.167910767,442880,495,0.202020202,3,2721756042,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721756042,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_L9_1000m (contamination screened),0,1,,0.000339214,0.135007041,347590,398,0.251256281,15,2737471720,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471720,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_L4_750m (contamination screened),0,2,,0.000678427,0.077679931,206924,229,0.873362445,5,2739367684,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367684,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_L12_750m (contamination screened),0,2,,0.000678427,0.128561981,350621,379,0.527704485,8,2739367935,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367935,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_K17_4000m (contamination screened),0,6,,0.002035282,0.373135037,945666,1100,0.545454545,6,2739367968,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367968,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_K16_4000m (contamination screened),0,1,,0.000339214,0.205902698,536559,607,0.164744646,4,2737471712,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2737471712,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_K13_1000m (contamination screened),0,1,,0.000339214,0.104138597,262844,307,0.325732899,3,2739367704,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367704,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_J5 (contamination screened),0,2,,0.000678427,0.139756032,359838,412,0.485436893,4,2721755963,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2721755963,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_J4_1000m (contamination screened),0,1,,0.000339214,0.10074646,275657,297,0.336700337,1,2739367710,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367710,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_J20_4000m (contamination screened),0,4,,0.001356855,0.289688475,731312,854,0.468384075,4,2739367680,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367680,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_J16_4000m (contamination screened),0,2,,0.000678427,0.118385571,304843,349,0.573065903,12,2739367722,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367722,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_J14_750m (contamination screened),0,5,,0.001696068,0.242876988,629590,716,0.698324022,,2739367716,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367716,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_J13_4000m (contamination screened),0,2,,0.000678427,0.24864362,609899,733,0.272851296,,2739367925,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367925,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_J12 (contamination screened),0,2,,0.000678427,0.100068033,252778,295,0.677966102,,2724679621,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2724679621,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_I9_1000m (contamination screened),0,2,,0.000678427,0.125848272,319457,371,0.539083558,,2739367818,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367818,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_I19_4000m (contamination screened),0,1,,0.000339214,0.159430425,396257,470,0.212765957,,2739367726,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367726,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
Pelagibacter bacterium JGI 01_I13_4000m (contamination screened),0,6,,0.002035282,0.471507002,1277249,1390,0.431654676,,2739367708,Bacteria,Permanent Draft,"Comprehensive metagenome and single cell genome sequencing from the open ocean community of North Pacfic Subtropical Gyre, Station ALOHA",DOE Joint Genome Institute (JGI),2739367708,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,unclassified,Environmental,Aquatic,Oceanic,Marine,,,not
